Name,Comment
Controlled Entity,"A legal entity over which another entity exercises control, typically through ownership of a majority of voting shares"
Controller,The party that exercises control over another entity
Controlling Interest,A sufficient percentage of voting stock in a corporation to influence or control the company's management
Conventional Mortgage,A home loan that is not guaranteed or insured by a government agency like the FHA or VA
Conversion Feature,"A provision in a security that allows the holder to exchange it for another form of security, typically common stock"
Conversion Ratio,The number of shares of a new security that an investor will receive for each convertible security they hold
Convertible Bond,A bond that can be converted into a predetermined amount of the issuer's common stock at the holder's option
Convertible Preferred Stock,Preferred stock that includes an option for the holder to convert it into a fixed number of common shares
Corporate Action,An event initiated by a corporation that affects its issued securities and stakeholders
Corporate Bond,A debt security issued by a corporation to raise capital
Corporate Charter,The foundational legal document that establishes a corporation's existence and defines its structure and powers
Corporate Governance,"The system of rules, practices, and processes by which a company is directed and controlled"
Corporate Head Office,The primary location where a company's executive and administrative functions are concentrated
Corporation,"A legal entity separate from its owners, created under the laws of a specific jurisdiction"
Cost,The monetary value of resources consumed to produce goods or services
Cost Of Capital,The required rate of return that a company must earn on its existing asset base to maintain the current value of its securities
Cost Of Goods Sold,The direct costs attributable to the production of the goods sold by a company
Counterparty,A party involved in a financial transaction
Counterparty Credit Risk,The risk that a counterparty to a financial transaction will default on its obligations
Country,A sovereign state or a political territory with a defined geographic boundary
Country Code,A short alphabetic or numeric code used to uniquely identify a country
Coupon,The periodic interest payment made by the issuer of a debt security to the holder
Coupon Date,The specific date on which an interest payment (coupon) is due to the bondholder
Coupon Frequency,The number of times per year that a coupon payment is made
Covenant,"A formal agreement or promise, often legally binding, included in a loan or bond agreement"
Credit Agency,An organization that collects credit information about consumers and businesses and sells it to creditors in the form of credit reports
Credit Default Swap,A financial derivative that allows one party to swap the credit risk of a reference entity with another party
Credit Event,"An event, such as bankruptcy or failure to pay, that triggers a payout under a Credit Default Swap contract"
Credit Facility,A type of loan or financing arrangement that allows a business to borrow funds up to a certain limit
Credit Rating,An assessment of the creditworthiness of a borrower in general or with respect to a specific debt or financial obligation
Credit Risk,The potential that a borrower will default on a debt obligation
Credit Union,"A non-profit financial cooperative owned by its members, which offers financial services similar to a bank"
Currency,"A medium of exchange, such as banknotes and coins, typically issued by a government"
Currency Exchange Rate,The rate at which one currency will be exchanged for another
Currency Pair,"A quotation of the exchange rate for two different currencies, such as EUR/USD"
Currency Swap,A swap in which the two parties exchange principal and interest payments in different currencies
Customer,A party who receives a service or product from a seller or service provider
Custodian,A financial institution that holds a customer's securities for safekeeping to minimize the risk of theft or loss
Custodian Bank,A bank specializing in acting as a custodian for investment funds and institutional investors
Custody Agreement,A legal contract that defines the terms under which a custodian will hold and manage a client's assets
Data Element,A unit of data that is considered indivisible for the purpose of a particular analysis
Data Model,An abstract model that organizes elements of data and standardizes how they relate to one another
Date,"A particular day, month, and year"
Date Of Birth,"The day, month, and year a person was born"
Date Of Death,"The day, month, and year a person passed away"
Dealer,"A party that stands ready to buy or sell securities for its own account, acting as a principal in a transaction"
Dealer Role,"The capacity in which a party acts as a principal in a securities transaction, trading from its own inventory"
Debt,An obligation that requires one party (the debtor) to pay money or transfer other agreed-upon value to another party (the creditor)
Debt Instrument,A financial security representing a loan that an issuer must repay to the holder
Debt Obligation,"A specific requirement to repay a debt, often defined by a schedule and set of terms"
Debt Pool,"A collection of various debt instruments grouped together, often used as the underlying assets for a structured finance product"
Debt Security,"A fungible, negotiable financial instrument representing a debt"
Debtor,The party that owes a debt or is under a financial obligation to another party
Decision,A choice made after considering the available options
Decision Maker,The person or entity responsible for making a decision
Decision Point,A specific moment or stage in a process where a choice must be made
Deed,"A legal document that is signed and delivered, especially one regarding the ownership of property or legal rights"
Default,"A failure to meet the legal obligations (or terms) of a loan, such as when a borrower fails to make a required interest or principal payment"
Default Risk,The risk of loss due to a debtor's failure to repay a loan or meet contractual obligations
Deferred Compensation,A portion of an employee's salary or bonus that is paid out at a later date
Deferred Interest Bond,A bond that allows the issuer to defer or postpone interest payments for a specified period
Defined Benefit Plan,A retirement plan where an employer guarantees a specific monthly benefit to the employee upon retirement
Defined Contribution Plan,A retirement plan where the benefit is not guaranteed; the final payout depends on the contributions made and the investment performance
Degree,An academic title conferred by a college or university for the successful completion of a course of study
Delivery Obligation,"The legal requirement to physically deliver an asset as specified in a contract, such as a futures contract"
Delivery Point,The specified location where a physical asset must be delivered to settle a contract
Demand Deposit,A bank account (like a checking account) from which funds can be withdrawn at any time without advance notice
Denomination,"The face value or unit amount of a currency, security, or other financial instrument"
Dependent Child,A child who relies on another person (parent or guardian) for financial support
Deposit Account,An account held at a financial institution where funds are placed for safekeeping and can be withdrawn under certain conditions
Depository Institution,A financial institution (like a bank or credit union) that is legally permitted to accept monetary deposits from the public
Depreciation,"A reduction in the value of an asset over time, due in particular to wear and tear"
Derivative,"A financial instrument whose value is derived from an underlying asset, rate, or index"
Derivative Contract,A legal agreement that defines the terms of a derivative transaction
Designated Contract Market,A board of trade that is registered with the CFTC and allows for the trading of futures and options on futures contracts
Designated Investment Company,A classification for certain pooled investment vehicles under regulatory law
Director,A person who is part of the governing body (Board of Directors) of a corporation
Disability,"A physical or mental condition that limits a person's movements, senses, or activities"
Disclosure,"The act of making information known, especially information that is legally required to be revealed"
Discount Rate,The interest rate charged to commercial banks and other depository institutions on loans they receive from their regional Federal Reserve Bank's lending facility
Discounted Cash Flow,A valuation method used to estimate the value of an investment based on its expected future cash flows
Disbursement,The action of paying out money
Distribution,"The act of distributing assets, income, or securities to shareholders or beneficiaries"
Distribution Right,The legal right of a shareholder to receive a share of a corporation's earnings or assets
Dividend,"A payment made by a corporation to its shareholders, usually as a distribution of profits"
Dividend Date,The date on which a dividend payment is scheduled to be made to shareholders
Dividend Rate,The amount of the dividend payment expressed as an annual percentage of the security's par value
Document,A written or electronic record that contains official or factual information
